iter	Passed	Remaining
0	146	146548
1	147	73581
2	148	49206
3	148	37080
4	149	29752
5	150	24862
6	150	21372
7	151	18755
8	151	16722
9	152	15094
10	152	13753
11	153	12656
12	154	11718
13	154	10907
14	155	10214
15	156	9610
16	156	9077
17	157	8588
18	157	8155
19	158	7764
20	158	7410
21	159	7089
22	160	6799
23	160	6534
24	161	6288
25	161	6062
26	162	5853
27	162	5657
28	163	5478
29	164	5309
30	164	5149
31	165	5000
32	165	4860
33	166	4729
34	167	4606
35	167	4489
36	168	4379
37	168	4275
38	169	4177
39	170	4083
40	170	3994
41	171	3908
42	171	3826
43	172	3748
44	173	3673
45	173	3602
46	174	3534
47	174	3470
48	175	3410
49	176	3349
50	176	3292
51	177	3236
52	178	3184
53	178	3132
54	179	3083
55	180	3035
56	180	2989
57	181	2944
58	181	2901
59	182	2858
60	183	2818
61	183	2779
62	184	2742
63	184	2704
64	185	2668
65	186	2634
66	186	2602
67	187	2566
68	187	2534
69	188	2504
70	189	2477
71	190	2449
72	190	2421
73	191	2394
74	191	2366
75	192	2341
76	193	2316
77	193	2292
78	194	2267
79	195	2243
80	195	2221
81	196	2198
82	196	2176
83	197	2155
84	198	2132
85	198	2112
86	199	2089
87	199	2069
88	200	2050
89	200	2032
90	201	2013
91	202	1995
92	202	1978
93	203	1961
94	204	1945
95	204	1928
96	205	1912
97	206	1897
98	206	1882
99	207	1866
100	207	1851
101	208	1833
102	208	1819
103	209	1804
104	210	1790
105	210	1776
106	211	1763
107	211	1750
108	212	1737
109	213	1724
110	213	1711
111	214	1700
112	215	1688
113	215	1676
114	216	1665
115	216	1652
116	217	1641
117	218	1630
118	218	1620
119	219	1609
120	220	1598
121	220	1588
122	220	1575
123	221	1565
124	222	1555
125	222	1545
126	223	1535
127	223	1524
128	224	1515
129	225	1506
130	225	1497
131	226	1488
132	226	1479
133	227	1470
134	228	1461
135	228	1453
136	229	1445
137	229	1435
138	230	1427
139	231	1419
140	231	1412
141	232	1404
142	233	1396
143	233	1389
144	234	1382
145	235	1374
146	235	1367
147	236	1360
148	236	1353
149	237	1345
150	238	1339
151	238	1332
152	239	1325
153	239	1318
154	240	1311
155	241	1305
156	241	1298
157	242	1291
158	242	1285
159	243	1279
160	244	1272
161	244	1266
162	245	1260
163	246	1254
164	246	1249
165	247	1243
166	248	1237
167	248	1231
168	249	1225
169	249	1219
170	250	1213
171	251	1208
172	251	1202
173	252	1197
174	252	1191
175	253	1186
176	254	1181
177	254	1176
178	255	1171
179	256	1166
180	256	1159
181	256	1154
182	257	1149
183	258	1144
184	258	1140
185	259	1135
186	260	1130
187	260	1125
188	261	1120
189	261	1116
190	262	1111
191	263	1107
192	263	1102
193	264	1098
194	264	1093
195	265	1089
196	266	1084
197	266	1080
198	267	1075
199	267	1071
200	268	1067
201	269	1062
202	269	1058
203	270	1054
204	270	1050
205	271	1046
206	272	1042
207	272	1038
208	273	1034
209	273	1030
210	274	1026
211	275	1022
212	275	1018
213	276	1015
214	277	1011
215	277	1007
216	278	1004
217	278	1000
218	279	996
219	280	993
220	280	989
221	281	985
222	281	982
223	282	978
224	282	974
225	283	970
226	284	967
227	284	963
228	285	960
229	285	956
230	286	953
231	287	950
232	287	946
233	288	943
234	288	939
235	289	936
236	289	933
237	290	930
238	291	927
239	292	924
240	292	921
241	293	918
242	293	915
243	294	912
244	295	909
245	295	906
246	296	903
247	297	900
248	297	897
249	298	894
250	298	891
251	299	888
252	300	885
253	300	883
254	301	880
255	301	877
256	302	874
257	303	872
258	303	869
259	304	866
260	305	864
261	305	861
262	306	859
263	307	857
264	308	854
265	308	851
266	309	849
267	310	846
268	310	844
269	311	841
270	312	839
271	312	836
272	313	834
273	313	831
274	314	829
275	315	826
276	315	824
277	316	822
278	317	819
279	317	816
280	318	814
281	319	812
282	319	809
283	320	807
284	320	804
285	321	802
286	322	800
287	322	797
288	323	795
289	323	793
290	324	791
291	325	788
292	325	786
293	326	784
294	327	782
295	327	780
296	328	778
297	329	775
298	329	773
299	330	771
300	331	769
301	331	767
302	332	765
303	333	763
304	334	761
305	334	759
306	335	757
307	336	755
308	336	752
309	337	750
310	338	748
311	338	746
312	339	744
313	339	742
314	340	740
315	341	738
316	342	737
317	342	735
318	343	733
319	343	730
320	344	728
321	345	726
322	345	724
323	346	722
324	347	721
325	347	719
326	348	717
327	349	715
328	349	713
329	350	711
330	351	709
331	351	707
332	352	705
333	353	704
334	353	702
335	354	700
336	355	698
337	355	696
